if_id,source_file,source_line,route_pattern,methods,expanded_paths,expanded_routes
IF-CS-064,spec/framework/23-interface-contract-catalog.md,124,/_matrix/client/*/rooms/{roomId}/initialSync,GET,/_matrix/client/v3/rooms/{roomId}/initialSync,GET /_matrix/client/v3/rooms/{roomId}/initialSync
IF-FED-001,spec/framework/23-interface-contract-catalog.md,142,/_matrix/federation/*/version,GET,/_matrix/federation/v1/version,GET /_matrix/federation/v1/version
IF-FED-001,spec/framework/23-interface-contract-catalog.md,142,/_matrix/key/*/query,POST,/_matrix/key/v2/query,POST /_matrix/key/v2/query
IF-FED-001,spec/framework/23-interface-contract-catalog.md,142,/_matrix/key/*/query/{serverName},GET,/_matrix/key/v2/query/{serverName},GET /_matrix/key/v2/query/{serverName}
IF-FED-001,spec/framework/23-interface-contract-catalog.md,142,/_matrix/key/*/server,GET,/_matrix/key/v2/server,GET /_matrix/key/v2/server
IF-FED-002,spec/framework/23-interface-contract-catalog.md,143,/_matrix/federation/*/send/{txnId},PUT,/_matrix/federation/v1/send/{txnId},PUT /_matrix/federation/v1/send/{txnId}
IF-FED-003,spec/framework/23-interface-contract-catalog.md,144,/_matrix/federation/*/invite/{roomId}/{eventId},PUT,/_matrix/federation/v1/invite/{roomId}/{eventId} | /_matrix/federation/v2/invite/{roomId}/{eventId},PUT /_matrix/federation/v1/invite/{roomId}/{eventId} | PUT /_matrix/federation/v2/invite/{roomId}/{eventId}
IF-FED-003,spec/framework/23-interface-contract-catalog.md,144,/_matrix/federation/*/make_join/{roomId}/{userId},GET,/_matrix/federation/v1/make_join/{roomId}/{userId},GET /_matrix/federation/v1/make_join/{roomId}/{userId}
IF-FED-003,spec/framework/23-interface-contract-catalog.md,144,/_matrix/federation/*/make_knock/{roomId}/{userId},GET,/_matrix/federation/v1/make_knock/{roomId}/{userId},GET /_matrix/federation/v1/make_knock/{roomId}/{userId}
IF-FED-003,spec/framework/23-interface-contract-catalog.md,144,/_matrix/federation/*/make_leave/{roomId}/{userId},GET,/_matrix/federation/v1/make_leave/{roomId}/{userId},GET /_matrix/federation/v1/make_leave/{roomId}/{userId}
IF-FED-003,spec/framework/23-interface-contract-catalog.md,144,/_matrix/federation/*/send_join/{roomId}/{eventId},PUT,/_matrix/federation/v1/send_join/{roomId}/{eventId} | /_matrix/federation/v2/send_join/{roomId}/{eventId},PUT /_matrix/federation/v1/send_join/{roomId}/{eventId} | PUT /_matrix/federation/v2/send_join/{roomId}/{eventId}
IF-FED-003,spec/framework/23-interface-contract-catalog.md,144,/_matrix/federation/*/send_knock/{roomId}/{eventId},PUT,/_matrix/federation/v1/send_knock/{roomId}/{eventId},PUT /_matrix/federation/v1/send_knock/{roomId}/{eventId}
IF-FED-003,spec/framework/23-interface-contract-catalog.md,144,/_matrix/federation/*/send_leave/{roomId}/{eventId},PUT,/_matrix/federation/v1/send_leave/{roomId}/{eventId} | /_matrix/federation/v2/send_leave/{roomId}/{eventId},PUT /_matrix/federation/v1/send_leave/{roomId}/{eventId} | PUT /_matrix/federation/v2/send_leave/{roomId}/{eventId}
IF-FED-004,spec/framework/23-interface-contract-catalog.md,145,/_matrix/federation/*/backfill/{roomId},GET,/_matrix/federation/v1/backfill/{roomId},GET /_matrix/federation/v1/backfill/{roomId}
IF-FED-004,spec/framework/23-interface-contract-catalog.md,145,/_matrix/federation/*/event_auth/{roomId}/{eventId},GET,/_matrix/federation/v1/event_auth/{roomId}/{eventId},GET /_matrix/federation/v1/event_auth/{roomId}/{eventId}
IF-FED-004,spec/framework/23-interface-contract-catalog.md,145,/_matrix/federation/*/event/{eventId},GET,/_matrix/federation/v1/event/{eventId},GET /_matrix/federation/v1/event/{eventId}
IF-FED-004,spec/framework/23-interface-contract-catalog.md,145,/_matrix/federation/*/get_missing_events/{roomId},POST,/_matrix/federation/v1/get_missing_events/{roomId},POST /_matrix/federation/v1/get_missing_events/{roomId}
IF-FED-004,spec/framework/23-interface-contract-catalog.md,145,/_matrix/federation/*/state_ids/{roomId},GET,/_matrix/federation/v1/state_ids/{roomId},GET /_matrix/federation/v1/state_ids/{roomId}
IF-FED-004,spec/framework/23-interface-contract-catalog.md,145,/_matrix/federation/*/state/{roomId},GET,/_matrix/federation/v1/state/{roomId},GET /_matrix/federation/v1/state/{roomId}
IF-FED-004,spec/framework/23-interface-contract-catalog.md,145,/_matrix/federation/*/timestamp_to_event/{roomId},GET,/_matrix/federation/v1/timestamp_to_event/{roomId},GET /_matrix/federation/v1/timestamp_to_event/{roomId}
IF-FED-006,spec/framework/23-interface-contract-catalog.md,147,/_matrix/federation/*/hierarchy/{roomId},GET,/_matrix/federation/v1/hierarchy/{roomId},GET /_matrix/federation/v1/hierarchy/{roomId}
IF-FED-006,spec/framework/23-interface-contract-catalog.md,147,/_matrix/federation/*/publicRooms,GET,/_matrix/federation/v1/publicRooms,GET /_matrix/federation/v1/publicRooms
IF-FED-006,spec/framework/23-interface-contract-catalog.md,147,/_matrix/federation/*/publicRooms,POST,/_matrix/federation/v1/publicRooms,POST /_matrix/federation/v1/publicRooms
IF-FED-006,spec/framework/23-interface-contract-catalog.md,147,/_matrix/federation/*/query/{queryType},GET,/_matrix/federation/v1/query/{queryType} | /_matrix/federation/v1/query/directory | /_matrix/federation/v1/query/profile,GET /_matrix/federation/v1/query/{queryType} | GET /_matrix/federation/v1/query/directory | GET /_matrix/federation/v1/query/profile
IF-FED-006,spec/framework/23-interface-contract-catalog.md,147,/_matrix/federation/*/query/directory,GET,/_matrix/federation/v1/query/directory,GET /_matrix/federation/v1/query/directory
IF-FED-006,spec/framework/23-interface-contract-catalog.md,147,/_matrix/federation/*/query/profile,GET,/_matrix/federation/v1/query/profile,GET /_matrix/federation/v1/query/profile
IF-FED-007,spec/framework/23-interface-contract-catalog.md,148,/_matrix/federation/*/user/devices/{userId},GET,/_matrix/federation/v1/user/devices/{userId},GET /_matrix/federation/v1/user/devices/{userId}
IF-FED-007,spec/framework/23-interface-contract-catalog.md,148,/_matrix/federation/*/user/keys/query,POST,/_matrix/federation/v1/user/keys/query,POST /_matrix/federation/v1/user/keys/query
IF-FED-008,spec/framework/23-interface-contract-catalog.md,149,/_matrix/federation/*/user/keys/claim,POST,/_matrix/federation/v1/user/keys/claim,POST /_matrix/federation/v1/user/keys/claim
IF-FED-009,spec/framework/23-interface-contract-catalog.md,150,/_matrix/federation/*/openid/userinfo,GET,/_matrix/federation/v1/openid/userinfo,GET /_matrix/federation/v1/openid/userinfo
IF-FED-010,spec/framework/23-interface-contract-catalog.md,151,/_matrix/federation/*/3pid/onbind,PUT,/_matrix/federation/v1/3pid/onbind,PUT /_matrix/federation/v1/3pid/onbind
IF-FED-010,spec/framework/23-interface-contract-catalog.md,151,/_matrix/federation/*/exchange_third_party_invite/{roomId},PUT,/_matrix/federation/v1/exchange_third_party_invite/{roomId},PUT /_matrix/federation/v1/exchange_third_party_invite/{roomId}
