if_id,source_file,source_line,route_pattern,methods,expanded_paths,expanded_routes
IF-CS-016,spec/framework/23-interface-contract-catalog.md,66,/_matrix/client/*/presence/{userId}/status,PUT,/_matrix/client/v3/presence/{userId}/status,PUT /_matrix/client/v3/presence/{userId}/status
IF-CS-017,spec/framework/23-interface-contract-catalog.md,67,/_matrix/client/*/profile/{userId},GET,/_matrix/client/v3/profile/{userId},GET /_matrix/client/v3/profile/{userId}
IF-CS-017,spec/framework/23-interface-contract-catalog.md,67,/_matrix/client/*/profile/{userId}/{keyName},"GET,PUT,DELETE",/_matrix/client/v3/profile/{userId}/{keyName},GET /_matrix/client/v3/profile/{userId}/{keyName} | PUT /_matrix/client/v3/profile/{userId}/{keyName} | DELETE /_matrix/client/v3/profile/{userId}/{keyName}
IF-CS-018,spec/framework/23-interface-contract-catalog.md,68,/_matrix/client/*/pushrules/,GET,/_matrix/client/v3/pushrules/,GET /_matrix/client/v3/pushrules/
IF-CS-018,spec/framework/23-interface-contract-catalog.md,68,/_matrix/client/*/pushrules/global/,GET,/_matrix/client/v3/pushrules/global/,GET /_matrix/client/v3/pushrules/global/
IF-CS-018,spec/framework/23-interface-contract-catalog.md,68,/_matrix/client/*/pushrules/global/{kind}/{ruleId},"GET,PUT,DELETE",/_matrix/client/v3/pushrules/global/{kind}/{ruleId},GET /_matrix/client/v3/pushrules/global/{kind}/{ruleId} | PUT /_matrix/client/v3/pushrules/global/{kind}/{ruleId} | DELETE /_matrix/client/v3/pushrules/global/{kind}/{ruleId}
IF-CS-018,spec/framework/23-interface-contract-catalog.md,68,/_matrix/client/*/pushrules/global/{kind}/{ruleId}/actions,"GET,PUT",/_matrix/client/v3/pushrules/global/{kind}/{ruleId}/actions,GET /_matrix/client/v3/pushrules/global/{kind}/{ruleId}/actions | PUT /_matrix/client/v3/pushrules/global/{kind}/{ruleId}/actions
IF-CS-018,spec/framework/23-interface-contract-catalog.md,68,/_matrix/client/*/pushrules/global/{kind}/{ruleId}/enabled,"GET,PUT",/_matrix/client/v3/pushrules/global/{kind}/{ruleId}/enabled,GET /_matrix/client/v3/pushrules/global/{kind}/{ruleId}/enabled | PUT /_matrix/client/v3/pushrules/global/{kind}/{ruleId}/enabled
IF-CS-019,spec/framework/23-interface-contract-catalog.md,69,/_matrix/client/*/rooms/{roomId}/receipt/{receiptType}/{eventId},POST,/_matrix/client/v3/rooms/{roomId}/receipt/{receiptType}/{eventId},POST /_matrix/client/v3/rooms/{roomId}/receipt/{receiptType}/{eventId}
IF-CS-019,spec/framework/23-interface-contract-catalog.md,69,/_matrix/client/*/rooms/{roomId}/typing/{userId},PUT,/_matrix/client/v3/rooms/{roomId}/typing/{userId},PUT /_matrix/client/v3/rooms/{roomId}/typing/{userId}
IF-CS-020,spec/framework/23-interface-contract-catalog.md,70,/_matrix/client/*/sync,GET,/_matrix/client/v3/sync,GET /_matrix/client/v3/sync
IF-CS-030,spec/framework/23-interface-contract-catalog.md,76,/_matrix/client/*/createRoom,POST,/_matrix/client/v3/createRoom,POST /_matrix/client/v3/createRoom
IF-CS-031,spec/framework/23-interface-contract-catalog.md,77,/_matrix/client/*/join/{roomIdOrAlias},POST,/_matrix/client/v3/join/{roomIdOrAlias},POST /_matrix/client/v3/join/{roomIdOrAlias}
IF-CS-031,spec/framework/23-interface-contract-catalog.md,77,/_matrix/client/*/knock/{roomIdOrAlias},POST,/_matrix/client/v3/knock/{roomIdOrAlias},POST /_matrix/client/v3/knock/{roomIdOrAlias}
IF-CS-031,spec/framework/23-interface-contract-catalog.md,77,/_matrix/client/*/rooms/{roomId}/ban,POST,/_matrix/client/v3/rooms/{roomId}/ban,POST /_matrix/client/v3/rooms/{roomId}/ban
IF-CS-031,spec/framework/23-interface-contract-catalog.md,77,/_matrix/client/*/rooms/{roomId}/forget,POST,/_matrix/client/v3/rooms/{roomId}/forget,POST /_matrix/client/v3/rooms/{roomId}/forget
IF-CS-031,spec/framework/23-interface-contract-catalog.md,77,/_matrix/client/*/rooms/{roomId}/invite,POST,/_matrix/client/v3/rooms/{roomId}/invite,POST /_matrix/client/v3/rooms/{roomId}/invite
IF-CS-031,spec/framework/23-interface-contract-catalog.md,77,/_matrix/client/*/rooms/{roomId}/join,POST,/_matrix/client/v3/rooms/{roomId}/join,POST /_matrix/client/v3/rooms/{roomId}/join
IF-CS-031,spec/framework/23-interface-contract-catalog.md,77,/_matrix/client/*/rooms/{roomId}/kick,POST,/_matrix/client/v3/rooms/{roomId}/kick,POST /_matrix/client/v3/rooms/{roomId}/kick
IF-CS-031,spec/framework/23-interface-contract-catalog.md,77,/_matrix/client/*/rooms/{roomId}/leave,POST,/_matrix/client/v3/rooms/{roomId}/leave,POST /_matrix/client/v3/rooms/{roomId}/leave
IF-CS-031,spec/framework/23-interface-contract-catalog.md,77,/_matrix/client/*/rooms/{roomId}/unban,POST,/_matrix/client/v3/rooms/{roomId}/unban,POST /_matrix/client/v3/rooms/{roomId}/unban
IF-CS-032,spec/framework/23-interface-contract-catalog.md,78,/_matrix/client/*/rooms/{roomId}/send/{eventType}/{txnId},PUT,/_matrix/client/v3/rooms/{roomId}/send/{eventType}/{txnId},PUT /_matrix/client/v3/rooms/{roomId}/send/{eventType}/{txnId}
IF-CS-033,spec/framework/23-interface-contract-catalog.md,79,/_matrix/client/*/rooms/{roomId}/state/{eventType}/{stateKey},PUT,/_matrix/client/v3/rooms/{roomId}/state/{eventType}/{stateKey},PUT /_matrix/client/v3/rooms/{roomId}/state/{eventType}/{stateKey}
IF-CS-034,spec/framework/23-interface-contract-catalog.md,80,/_matrix/client/*/rooms/{roomId}/context/{eventId},GET,/_matrix/client/v3/rooms/{roomId}/context/{eventId},GET /_matrix/client/v3/rooms/{roomId}/context/{eventId}
